City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
146,kerur,16.0167,75.5667,22.6,50,0,2.82,IN,1707182942
147,sunderland,54.9047,-1.3822,11.38,87,100,9.89,GB,1707182942
148,nuku'alofa,-21.1333,-175.2,26.37,76,100,8.63,TO,1707182942
149,polyarnyy,69.1989,33.4478,-19.2,100,100,3.84,RU,1707182943
150,chonchi,-42.6128,-73.8092,16.56,81,100,0.93,CL,1707182943
151,crane,31.3974,-102.3501,12.55,44,7,0.91,US,1707182944
152,bay minette,30.883,-87.773,10.78,78,100,3.47,US,1707182945
153,vorgashor,67.5833,63.95,-24.01,97,92,2.8,RU,1707182945
154,valdivia,-39.8142,-73.2459,19.05,95,100,0.75,CL,1707182945
155,tromso,69.6496,18.957,-8.99,79,75,1.03,NO,1707182776
156,faya-largeau,17.9257,19.1043,16.41,26,30,10.87,TD,1707182946
157,labasa,-16.4167,179.3833,29.27,78,100,0.51,FJ,1707182946
158,las heras,-46.5419,-68.9359,21.24,22,34,8.89,AR,1707182947
159,petropavlovsk-kamchatsky,53.0452,158.6483,-7.53,74,75,2.68,RU,1707182947
160,jalna,19.8333,75.8833,20.14,55,0,3.16,IN,1707182948
161,beloyarskiy,63.7119,66.6722,-17.22,97,100,2.68,RU,1707182948
162,nova sintra,14.8667,-24.7167,20.97,68,0,7.53,CV,1707182948
163,fort st. john,56.2499,-120.8529,-7.06,73,75,3.09,CA,1707182949
164,thorpe hamlet,52.6303,1.3134,11.21,77,100,7.2,GB,1707182949
165,borovichi,58.3878,33.9155,-7.77,99,100,1.34,RU,1707182950
166,itapetininga,-23.5917,-48.0531,21.49,82,84,2.39,BR,1707182950
167,olonkinbyen,70.9221,-8.7187,-1.66,70,77,6.86,SJ,1707182951
168,bredasdorp,-34.5322,20.0403,21.11,81,100,1.49,ZA,1707182951
169,bubaque,11.2833,-15.8333,26.35,73,0,3.61,GW,1707182952
170,charters towers,-20.1,146.2667,31.61,55,5,2.46,AU,1707182812
